transcription,conversation_no
"You're quite insufferable, I expect it's because you're drunk.",27
I am not in the least bit drunk.,27
You always had a weak head.,27
I think I told you once before that I had three minute liquor glasses the whole evening long.  A Child of two cannot get drunk on that.,27
"On the contrary, a child two could get violently drunk on only one glass of brandy.",27
"Oh very, very interesting Amanda.  How about the child of uh... four, six or maybe nine---you know, we could work up a splendid little debate about it, you know?  Intemperate tots.",27
Shut up.,27
Not very funny darling.  Why don't you have some more brandy?,27
That's a very good idea I think I will.,27
Would you uh...turn that off please? You're going to wake the people upstairs.,27
Why?,27
There are no people upstairs. It's a photographer's studio.,27
Well then you'll wake the people downstairs.,27
They are away in Tunis.,27
This is no time a year for Tunis.,27
"Turn it on again, please.",27
I will do no such thing.,27
Very well if you insist on being boorish and idiotic.,27
Turn it off. It's driving me mad.,27
I won't.,27
Turn it off.,27
Stop it. No. Go away.,27
Amanda listen. Listen.,27
"listen Oh I'm sick and tired of listening to you, you damn sadistic bully.",27
That's very amusing indeed.,27
"Oh you're cruel you're...you're...I hate you, I hate you. Go away. You're conceited. You're overbearing. You're utterly impossible.",27
"You...You're an evil minded, self-centered little wench and I never want to see you again.",27
This is the end do you hear me?  Finally and forever.,27
You're not going like this.,27
"Oh yes I am...Oh yes I am. Let go of me. You let go. You...urgh...You're a cruel friend. I loathe and I hate you. Marry you again...Ha...Never, never, never, never. I hope you die in torment. You beast.",27
No you're not.,27
Shut up. Shut up. I wouldn't marry you again if you came crawling back to me on a bended knee. You are an evil tempered little vampire and I never want to see you again as long as I live.,27
"Hi. Excuse me.  Um, I'd like to put in this application for my registration.",28
Hi.,28
"Okay.  Let me see here.  Um, we need--we need your original birth certificate.",28
My--my original birth certificate?  But I don't carry that with me.,28
Right.  Well.  We still need it.,28
"Well, I have my driver's license, does that work?",28
"No. no  Uh, no one told you that you needed your original birth certificate.",28
No it doesn't say it on the form.,28
"I mean it just says that you need some form of identification, but it doesn't say what kind of identification.",28
I mean if I had known--I would have brought it.,28
um Sorry.,28
"Okay.  Um, I'm sorry but I--I can't help you.  You're gonna have to go back and uh...",28
"Look, I've been waiting in line for a really long time.  I mean, you've seen how long it is.",28
It's lunch hour.,28
Right.  It's the D.M.V..,28
"I know, it gets long, but I can't do anything without your--do you have Social Security card, maybe?",28
"Well, no.  I mean, I don't carry my original documents with me because if those things get destroyed, then what do you, you know what I mean, like if I loose my wallet or something, I'll never have them again.",28
I have my passport and I have my driver's license. And that's all I have.,28
"Alright, I don't know what to tell you right.",28
"I think you're just gonna--you're gonna have to get 'em and then you can back and then, we'll help you out.  Maybe, we can-",28
"But, isn't there anything you can do.  Can't you make an exception this one time?  My picture is on both of those identifications.  It's not like you don't know that it's me.",28
I can't.,28
And I can give you my social--,28
"I make an exception for you and I have to make an exception for everyone.  I mean, I-I've seen this before and I know it's frustrating, but there's nothing I can do. You just have to-",28
"Well, I can give you my Social Security Number.",28
"No, it's--",28
And I can tell you where I was born and what time and by who and what day.,28
"Okay.  But how do I--that's- that's not proof to me.  How do I know that, you know, that it's really you.  I need--",28
I can't go--I have to go back to work.  I don't have time to go back to my house and get all of that stuff and then get back in line and wait for another forty five minutes.,28
"Well, the weekends are not as busy.  Maybe you can uh, come and try to get here early--",28
"Um, I have kids.  I have to take them places on the weekends.  I don't have time to come back here.  Please.  I really need you to help me.",28
I can't.  There's nothing I can do.  I'm sorry.,28
Well.  [BREATHING] I just--I just don't.  I-I'm sorry that I'm standing here-- But I can't leave. I-,28
The line--,28
"I really need this done today.  As you can see, the deadline is almost up and I can't come back.",28
"Ok, but you're right now you're holding up more people in line by standing here-- and letting",28
"Well, why didn't the D.M.V. put that you needed your birth certificate on the application then?",28
"I--when you're going to the D.M.V., you usually need pretty professional identification--",28
"You know, Official documentation--",28
"Yeah, but your birth certificate--I mean, who carries around their birth certificate?  Nobody does that.",28
"No, but you come--you come to the D.M.V., it's something-- You should've- You should've figured--",28
With your driver's license and your passport.  Just like everybody else.,28
"But, without your drive--where-where- what about your identification without your driver's license?  I mean, you need--you needed something before then?",28
"Who--you always use your driver's license.  I mean, you're not coming to the D.M.V. if you're not over sixteen and that's when you get your driver's license so you're never gonna need it anyway.",28
"All right.  Well, um, you know, I'd love to help you, but--nothing I can do.",28
"So, if you wanna go get your birth certificate, um, maybe come back--I don't--maybe you can talk to the person in the--in the front of line maybe.  I don't know.",28
Do you have a supervisor?,28
I am the supervisor.  So--,28
"Well, thank you very much.  You've been very helpful.",28
All right.  Thank you.,28
It's almost time for me to go.,29
I can't believe that--now--are you sure this is absolutely necessary?  Like--,29
"There's nothing I can do.  I mean, the government you know--",29
What--what're we gonna do here?  I can't--I can't do this by myself.  I--,29
"You're gonna have to.  I mean, you're a great father.  You can do it.  I know you can.",29
"But, I'm--I'm nothing--I'm nothing without you here.  Maybe we can--we can get out of this somehow.",29
I don't think so.,29
"Well, come on.  You've gotta think of something.  A year--a year away, it's gonna tear us apart.  I don't even--I don't even wanna think about it.  I mean, I don't even know if I'll be able to get in touch with you or--",29
"Well, we can do the best we can and-and, with um, you know like wireless internet these days--I think that we could-- Talk every once in awhile.",29
It's not...,29
You could send me pictures.,29
It's not going to be the same.,29
"What if--maybe--what if, uh, we went somewhere over there?  I don't--I don't know--I--I need to figure something out for this because--",29
"Their not gonna let you.  You have to stay home and I have to go.  I mean, that's all--",29
"and--I mean, my daughter--I don't want to put her in danger.  You know?  She has to stay.",29
This is gonna be a--a crucial yet--she's--she's growing up.  She's gonna need you.,29
"I know, but, she needs to be safe more.  She needs to be around kids her age--own age.  She needs to be able to play on the streets and--",29
But she's--you're not gonna--you're not gonna be here for--for her first words.  For her first steps.  I mean--it's something that you're supposed to be here for that--,29
You can just remember it for me.,29
I don't know--I don't know--I don't know how--I don't know how this could even be possible for you--I--if I was--,29
"Well, I need--I need you to be able to do this for me 'cause I can't do anything about it.",29
